ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; School Type [Public School] (All Years: 2018-19): 1-Regular school 2-Special education school; Grade 12 offered [Public School] (All Years: 2018-19): Yes

School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2018-19,Web Site URL [Public School] 2018-19,Phone Number [Public School] 2018-19,School Type [Public School] 2018-19,Grade 12 offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,White Students [Public School] 2018-19,Black Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Location City [Public School] 2018-19
FOREST LAKE AREA HIGH SCHOOL,Minnesota,MN ,Washington County,†,6519828401,1-Regular school,1-Yes,1954,1024,930,66,†,1689,36,76,74,13,315,FOREST LAKE
FOREST PARK HIGH,Virginia,VA ,Prince William County,†,7035833200,1-Regular school,1-Yes,2229,1236,993,150,3,765,613,498,197,3,644,Woodbridge
FOREST PARK HIGH,Maryland,MD ,Baltimore city,http://www.baltimorecityschools.org/406,4103960753,1-Regular school,1-Yes,597,363,234,2,2,8,493,87,1,4,597,Baltimore
FOREST PARK HIGH SCHOOL,Georgia,GA ,Clayton County,†,4043623890,1-Regular school,1-Yes,1666,812,854,27,="0",53,703,733,148,2,1549,Forest Park
FOREST PARK JR-SR HIGH SCHOOL,Indiana,IN ,Dubois County,†,8128170900,1-Regular school,1-Yes,572,296,276,10,†,533,2,22,4,1,114,Ferdinand
FOREST PARK SCHOOL,Michigan,MI ,Iron County,http://www.fptrojans.org,9062144695,1-Regular school,1-Yes,440,225,215,20,="0",404,="0",7,4,5,233,CRYSTAL FALLS
FOREST SCHOOL,Louisiana,LA ,West Carroll Parish,†,3184283672,1-Regular school,1-Yes,532,276,256,5,1,442,58,25,†,1,288,Forest
FORESTBURG SCHOOL,Texas,TX ,Montague County,http://www2.esc9.net/forestburgisd/,9409642323,1-Regular school,1-Yes,173,87,86,1,="0",145,="0",27,="0",="0",93,FORESTBURG
FORESTHILL HIGH,California,CA ,Placer County,http://www.puhsd.k12.ca.us/foresthill,5303675244,1-Regular school,1-Yes,198,114,84,14,†,150,1,28,1,4,66,Foresthill
FORESTVIEW HIGH,North Carolina,NC ,Gaston County,http://www.gaston.k12.nc.us/forestview,7048612625,1-Regular school,1-Yes,1146,619,527,48,="0",705,232,135,20,6,376,Gastonia
FORESTVILLE CENTRAL HIGH SCHOOL,New York,NY ,Chautauqua County,http://www.forestville.com,7169652711,1-Regular school,1-Yes,223,111,112,9,="0",187,6,18,1,2,109,FORESTVILLE
FORGAN HS,Oklahoma,OK ,Beaver County,http://www.forganschool.com,5804873366,1-Regular school,1-Yes,39,22,17,="0",†,23,†,16,†,†,19,Forgan
FORKS JUNIOR-SENIOR HIGH SCHOOL,Washington,WA ,Clallam County,http://www.forks.wednet.edu,3603746262,1-Regular school,1-Yes,444,233,211,26,†,243,2,139,4,30,256,Forks
FORNEY H S,Texas,TX ,Kaufman County,†,9725643890,1-Regular school,1-Yes,1511,758,753,35,="0",906,145,387,29,9,278,FORNEY
FORREST CITY HIGH SCHOOL,Arkansas,AR ,St. Francis County,http://mustang.grsc.k12.ar.us,8706331464,1-Regular school,1-Yes,653,326,327,1,1,42,597,6,4,2,653,FORREST CITY
FORREST COUNTY AGRICULTURAL HI SCH,Mississippi,MS ,Forrest County,http://www.forrestcountyahs.com,6015824741,1-Regular school,1-Yes,589,321,268,12,†,398,160,18,1,†,410,Brooklyn
FORREST M BIRD CHARTER SCHOOL,IDAHO,ID ,Bonner County,†,2082557771,1-Regular school,1-Yes,322,186,136,7,1,287,1,19,5,2,3,SANDPOINT
FORREST SCHOOL,Tennessee,TN ,Marshall County,http://www.forrestschool.com/,9312464733,1-Regular school,1-Yes,756,401,355,7,†,702,14,29,2,2,–,Chapel Hill
FORRESTON JR/SR HIGH SCH,Illinois,IL ,Ogle County,†,8159382175,1-Regular school,1-Yes,430,219,211,25,†,385,1,15,4,†,138,Forreston
FORSAN H S,Texas,TX ,Howard County,†,4324572223,1-Regular school,1-Yes,396,204,192,9,="0",257,6,109,12,3,110,FORSAN
FORSYTH CENTRAL HIGH SCHOOL,Georgia,GA ,Forsyth County,http://www.forsyth.k12.ga.us,7708878151,1-Regular school,1-Yes,2551,1330,1221,80,="0",1625,84,648,102,12,667,Cumming
FORSYTH HIGH,Missouri,MO ,Taney County,http://www.forsythpanthers.org,4175466383,1-Regular school,1-Yes,395,198,197,6,†,372,3,8,3,3,245,FORSYTH
FORSYTH HIGH SCHOOL,Montana,MT ,Rosebud County,http://forsythpublicschools.org,4063462796,1-Regular school,1-Yes,107,49,58,4,="0",94,="0",6,="0",3,22,Forsyth
FORSYTH VIRTUAL ACADEMY,Georgia,GA ,Forsyth County,http://www.forsyth.k12.ga.us/iachieve,6789654970,1-Regular school,1-Yes,58,21,37,3,="0",52,="0",2,1,="0",3,Cumming
FORSYTHE SATELLITE ACADEMY,New York,NY ,New York County,†,2126778900,1-Regular school,1-Yes,174,80,94,1,="0",7,74,89,1,2,148,NEW YORK
FORT ANN MIDDLE/HIGH SCHOOL,New York,NY ,Washington County,http://www.fortannschool.org,5186395594,1-Regular school,1-Yes,241,140,101,1,="0",223,2,14,1,="0",100,FORT ANN
FORT ATKINSON HIGH,Wisconsin,WI ,Jefferson County,http://www.fortschools.org,9205637811,1-Regular school,1-Yes,949,467,482,7,2,761,10,148,18,3,336,Fort Atkinson
FORT BELLEFONTAINE CAMPUS,Missouri,MO ,St. Louis County,†,3143557807,1-Regular school,1-Yes,21,21,="0",="0",="0",15,6,="0",="0",="0",18,ST LOUIS
FORT BENTON HIGH SCHOOL,Montana,MT ,Chouteau County,http://www.fortbenton.k12.mt.us,4066223213,1-Regular school,1-Yes,100,57,43,2,="0",90,1,4,1,2,35,Fort Benton
FORT BRAGG HIGH,California,CA ,Mendocino County,†,7079612880,1-Regular school,1-Yes,512,279,233,32,†,250,6,214,6,4,314,Fort Bragg
FORT CALHOUN HIGH SCHOOL,Nebraska,NE ,Washington County,†,4024685591,1-Regular school,1-Yes,336,179,157,6,="0",313,3,10,2,2,76,FORT CALHOUN
FORT CHERRY JSHS,Pennsylvania,PA ,Washington County,http://www.fortcherry.org,7247961551,1-Regular school,1-Yes,502,262,240,15,="0",481,3,1,2,="0",196,Mc Donald
FORT CHISWELL HIGH,Virginia,VA ,Wythe County,†,2766373437,1-Regular school,1-Yes,491,272,219,11,="0",464,11,3,1,1,214,Max Meadows
FORT COBB-BROXTON HS,Oklahoma,OK ,Caddo County,http://www.fcbmustangs.com,4056432820,1-Regular school,1-Yes,92,48,44,12,†,55,†,5,†,20,59,Fort Cobb
FORT COLLINS HIGH SCHOOL,Colorado,CO ,Larimer County,†,9704888021,1-Regular school,1-Yes,1860,953,907,75,†,1238,39,428,67,13,651,FORT COLLINS
FORT DODGE HIGH SCHOOL,Iowa,IA ,Webster County,http://www.fort-dodge.k12.ia.us/sr_high,5159551770,1-Regular school,1-Yes,1106,593,513,67,2,847,78,104,6,2,587,Fort Dodge
FORT DORCHESTER HIGH,South Carolina,SC ,Dorchester County,†,8437604450,1-Regular school,1-Yes,2271,1143,1128,103,9,814,1020,251,70,4,904,North Charleston
FORT EDWARD SCHOOL,New York,NY ,Washington County,http://www.fortedward.org,5187474529,1-Regular school,1-Yes,475,238,237,22,†,427,4,22,†,†,214,FORT EDWARD
FORT ELLIOTT SCHOOL,Texas,TX ,Wheeler County,†,8063752454,1-Regular school,1-Yes,136,57,79,4,="0",115,="0",17,="0",="0",44,BRISCOE
FORT FAIRFIELD MIDDLE/HIGH SCHOOL,Maine,ME ,Aroostook County,†,2074723271,1-Regular school,1-Yes,266,137,129,†,†,258,2,5,1,†,161,Fort Fairfield
FORT FRYE HIGH SCHOOL,Ohio,OH ,Washington County,http://www.fortfrye.k12.oh.us,7409842376,1-Regular school,1-Yes,426,230,196,7,1,415,1,1,1,="0",200,Beverly
FORT GIBSON HS,Oklahoma,OK ,Muskogee County,http://www.ftgibson.k12.ok.us,9184782452,1-Regular school,1-Yes,581,289,292,6,†,246,15,20,2,292,234,Fort Gibson
FORT HAMILTON HIGH SCHOOL,New York,NY ,Kings County,http://www.forthamiltonhighschool.net,7187481537,1-Regular school,1-Yes,4550,2369,2181,72,19,1615,141,1439,1253,11,3253,BROOKLYN
FORT HANCOCK H S,Texas,TX ,Hudspeth County,†,9157693811,1-Regular school,1-Yes,108,50,58,="0",="0",2,="0",106,="0",="0",100,FORT HANCOCK
FORT HAYES ARTS AND ACADEMIC HS,Ohio,OH ,Franklin County,†,6143656681,1-Regular school,1-Yes,702,247,455,42,="0",94,504,50,9,3,–,Columbus
FORT HILL HIGH,Maryland,MD ,Allegany County,http://acps.allconet.org/fo/,3017772570,1-Regular school,1-Yes,715,372,343,44,†,612,42,11,5,1,320,Cumberland
FORT JENNINGS HIGH SCHOOL,Ohio,OH ,Putnam County,†,4192862238,1-Regular school,1-Yes,173,85,88,1,="0",169,="0",2,1,="0",–,Fort Jennings
FORT KENT COMMUNITY HIGH SCHOOL,Maine,ME ,Aroostook County,†,2078345540,1-Regular school,1-Yes,252,128,124,†,†,243,2,4,3,†,109,Fort Kent
FORT LAUDERDALE HIGH SCHOOL,Florida,FL ,Broward County,†,7543221100,1-Regular school,1-Yes,2133,979,1154,67,="0",536,1048,423,56,3,1315,FORT LAUDERDALE
FORT LEBOEUF SHS,Pennsylvania,PA ,Erie County,http://www.fortleboeuf.net,8147962616,1-Regular school,1-Yes,671,348,323,8,="0",636,10,17,="0",="0",295,Waterford
FORT LEE HIGH SCHOOL,New Jersey,NJ ,Bergen County,http://flhs.flboe.com/,2015854675,1-Regular school,1-Yes,1012,526,486,3,5,299,44,232,427,2,202,FORT LEE
FORT LORAMIE JUNIOR-SENIOR HIGH SCHOOL,Ohio,OH ,Shelby County,http://www.loramie.k12.oh.us,9372953342,1-Regular school,1-Yes,371,183,188,="0",="0",368,="0",3,="0",="0",13,Fort Loramie
FORT LUPTON HIGH SCHOOL,Colorado,CO ,Weld County,http://www.Weld8.org,3038577100,1-Regular school,1-Yes,661,341,320,4,†,150,2,501,2,2,457,FORT LUPTON
FORT MADISON HIGH SCHOOL,Iowa,IA ,Lee County,http://www.fmcsd.org,3193721862,1-Regular school,1-Yes,550,263,287,27,1,453,14,51,2,2,268,Fort Madison
FORT MEADE MIDDLE/SENIOR HIGH SCHOOL,Florida,FL ,Polk County,http://schools.polk-fl.net/fmmshs,8632851180,1-Regular school,1-Yes,756,393,363,13,2,264,110,361,2,4,439,FORT MEADE
FORT MILL HIGH,South Carolina,SC ,York County,†,8035481900,1-Regular school,1-Yes,2362,1194,1168,80,="0",1845,205,152,78,2,265,Fort Mill
FORT MORGAN HIGH SCHOOL,Colorado,CO ,Morgan County,http://www.morgan.k12.co.us,9708675648,1-Regular school,1-Yes,927,487,440,14,†,288,52,557,9,7,503,FORT MORGAN
FORT MYERS HIGH SCHOOL,Florida,FL ,Lee County,http://fmh.leeschools.net/,2393342167,1-Regular school,1-Yes,1944,961,983,43,2,1108,365,320,104,2,520,FORT MYERS
FORT OSAGE HIGH,Missouri,MO ,Jackson County,†,8166507030,1-Regular school,1-Yes,1466,756,710,13,27,1116,126,150,21,13,547,INDEPENDENCE
FORT PAYNE HIGH SCHOOL,Alabama,AL ,DeKalb County,http://www.ftpayk12.org,2568450535,1-Regular school,1-Yes,943,476,467,25,="0",520,33,343,8,14,560,Fort Payne
FORT PIERCE CENTRAL HIGH SCHOOL,Florida,FL ,St. Lucie County,http://www.stlucie.k12.fl.us/FPC/,7724685888,1-Regular school,1-Yes,2602,1355,1247,89,4,808,706,953,31,11,1527,FORT PIERCE
FORT PIERCE WESTWOOD HIGH SCHOOL,Florida,FL ,St. Lucie County,http://www.stlucie.k12.fl.us/FPW/,7724685400,1-Regular school,1-Yes,1769,887,882,38,1,338,976,402,11,3,990,FORT PIERCE
FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL,New York,NY ,Montgomery County,http://www.fortplain.org,5189934000,1-Regular school,1-Yes,358,184,174,18,="0",309,8,21,2,="0",194,FORT PLAIN
FORT RECOVERY HIGH SCHOOL,Ohio,OH ,Mercer County,†,4193754111,1-Regular school,1-Yes,300,164,136,1,1,289,1,5,3,="0",17,Fort Recovery
FORT SCOTT SR HIGH,Kansas,KS ,Bourbon County,http://www.usd234.org,6202230600,1-Regular school,1-Yes,598,305,293,27,†,517,21,21,11,1,300,Fort Scott
FORT STOCKTON HIGH,Texas,TX ,Pecos County,http://www.fsisd.net,4323364101,1-Regular school,1-Yes,704,366,338,1,="0",89,3,606,5,="0",411,FORT STOCKTON
FORT SUMNER HIGH,New Mexico,NM ,De Baca County,http://www.ftsumnerk12.com/,5053559611,1-Regular school,1-Yes,91,48,43,="0",="0",38,3,50,="0",="0",91,FORT SUMNER
FORT SUPPLY HS,Oklahoma,OK ,Woodward County,http://www.fortsupply.k12.ok.us,5807662611,1-Regular school,1-Yes,39,18,21,="0",†,36,†,2,1,†,18,Fort Supply
FORT THOMAS HIGH SCHOOL,Arizona,AZ ,Graham County,†,9284859423,1-Regular school,1-Yes,235,114,121,="0",="0",16,="0",5,="0",214,196,Fort Thomas
FORT TOWSON HS,Oklahoma,OK ,Choctaw County,http://www.forttowson.k12.ok.us/,5808732325,1-Regular school,1-Yes,124,62,62,15,†,76,6,3,†,24,124,Fort Towson
FORT VANCOUVER HIGH SCHOOL,Washington,WA ,Clark County,http://fort.vansd.org,3603134000,1-Regular school,1-Yes,1576,768,808,90,95,574,74,671,69,3,1083,VANCOUVER
FORT WALTON BEACH HIGH SCHOOL,Florida,FL ,Okaloosa County,†,8508333300,1-Regular school,1-Yes,1720,829,891,162,6,1016,249,216,63,8,636,FORT WALTON BEACH
FORT WHITE HIGH SCHOOL,Florida,FL ,Columbia County,http://fwhs.columbiak12.com/,3863197272,1-Regular school,1-Yes,1164,593,571,68,1,851,131,107,4,2,601,FORT WHITE
FORT WORTH ACADEMY OF FINE ARTS,Texas,TX ,Tarrant County,http://www.fwafa.org,8179241482,1-Regular school,1-Yes,340,94,246,15,="0",218,37,63,7,="0",33,FORT WORTH
FORT YUKON SCHOOL,Alaska,AK ,Yukon-Koyukuk Census Area,http://www.yukonflats.net,9076622352,1-Regular school,1-Yes,95,52,43,="0",="0",4,="0",="0",="0",91,92,Fort Yukon
FORTUNA UNION HIGH,California,CA ,Humboldt County,http://www.fortunahigh.org,7077254461,1-Regular school,1-Yes,857,442,415,63,1,529,1,231,7,25,432,Fortuna
FORTUNE,CALIFORNIA,CA ,Sacramento County,http://www.fortuneschool.org,9162874470,1-Regular school,1-Yes,1235,590,645,73,13,14,776,310,34,15,1009,Sacramento
FOSHAY LEARNING CENTER,California,CA ,Los Angeles County,http://www.lausd.net/Foshay_LC,3233732700,1-Regular school,1-Yes,1838,863,975,†,2,6,273,1548,6,3,1734,Los Angeles
FOSS,Washington,WA ,Pierce County,†,2535717300,1-Regular school,1-Yes,631,320,311,57,26,200,129,117,94,8,435,Tacoma
FOSSIL CHARTER SCHOOL,Oregon,OR ,Wheeler County,http://www.fossil.k12.or.us,5417634384,1-Regular school,1-Yes,755,361,394,38,="0",664,14,23,11,5,42,Fossil
FOSSIL RIDGE H S,Texas,TX ,Tarrant County,http://www.kellerisd.net,8177441700,1-Regular school,1-Yes,2315,1198,1117,80,1,794,334,788,312,6,1075,KELLER
FOSSIL RIDGE HIGH SCHOOL,Colorado,CO ,Larimer County,†,9704886260,1-Regular school,1-Yes,2055,1050,1005,83,2,1661,22,172,109,6,166,FORT COLLINS
FOSSTON SECONDARY,Minnesota,MN ,Polk County,†,2184351909,1-Regular school,1-Yes,300,161,139,25,†,257,1,9,1,7,104,FOSSTON
FOSTER H S,Texas,TX ,Fort Bend County,http://www.lcisd.org,8322233800,1-Regular school,1-Yes,1912,1020,892,48,3,654,407,602,191,7,569,RICHMOND
FOSTER SENIOR HIGH SCHOOL,Washington,WA ,King County,http://foster.tukwilaschools.org/,2069017900,1-Regular school,1-Yes,916,476,440,51,42,103,187,235,292,6,623,Tukwila
FOSTORIA JUNIOR/SENIOR HIGH SCHOOL,Ohio,OH ,Wood County,†,4194364110,1-Regular school,1-Yes,740,379,361,120,="0",412,42,157,9,="0",509,Fostoria
FOUKE HIGH SCHOOL,Arkansas,AR ,Miller County,http://fouke.schoolfusion.us,8706534551,1-Regular school,1-Yes,331,172,159,1,†,320,†,6,1,3,170,FOUKE
FOUNDATION ACADEMY CHARTER SCHOOL,New Jersey,NJ ,Mercer County,http://www.foundationacademies.org/,6099209200,1-Regular school,1-Yes,1050,475,575,12,1,5,554,472,5,1,851,Trenton
FOUNDERS ACADEMY OF NEVADA,NEVADA,NV ,Clark County,http://www.foundersacademylv.com,7029988368,1-Regular school,1-Yes,714,343,371,75,1,354,50,212,21,1,122,Las Vegas
FOUNDERS CLASSICAL ACADEMY,Texas,TX ,Denton County,http://www.responsiveed.com,9723163663,1-Regular school,1-Yes,921,445,476,58,4,538,57,156,108,="0",153,LEWISVILLE
FOUNDERS CLASSICAL ACADEMY OF DALLAS,Texas,TX ,Dallas County,http://www.responsiveed.com,9723163663,1-Regular school,1-Yes,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,DALLAS
FOUNDERS CLASSICAL ACADEMY OF LEANDER,TEXAS,TX ,Williamson County,http://www.responsiveed.com,9723163663,1-Regular school,1-Yes,637,304,333,36,1,446,6,123,24,1,56,LEANDER
FOUNTAIN CENTRAL HIGH SCHOOL,Indiana,IN ,Fountain County,†,7652942206,1-Regular school,1-Yes,471,265,206,9,†,422,1,39,†,†,204,Veedersburg
FOUNTAIN HILLS HIGH SCHOOL,Arizona,AZ ,Maricopa County,†,4806645000,1-Regular school,1-Yes,464,254,210,11,="0",351,7,48,5,42,59,FOUNTAIN HILLS
FOUNTAIN LAKE CHARTER HIGH SCHOOL,Arkansas,AR ,Garland County,http://www.flcobras.net,5017011706,1-Regular school,1-Yes,458,239,219,28,†,384,8,35,2,1,220,HOT SPRINGS
FOUNTAIN VALLEY HIGH,California,CA ,Orange County,http://www.fvhs.com,7149623301,1-Regular school,1-Yes,3531,1759,1772,120,19,905,33,493,1948,13,1132,Fountain Valley
FOUNTAIN-FORT CARSON HIGH SCHOOL,Colorado,CO ,El Paso County,http://ffchsweb.ffc8.org,7193821640,1-Regular school,1-Yes,1783,904,879,157,40,827,240,473,23,23,809,FOUNTAIN
FOUNTAIN.HILLS ONLINE,Arizona,AZ ,Maricopa County,†,4806645000,1-Regular school,1-Yes,17,10,7,1,="0",12,="0",="0",="0",4,–,FOUNTAIN HILLS
FOUR CORNERS UPPER SCHOOL,Florida,FL ,Osceola County,http://www.fourcornersupperschool.org,4075894600,1-Regular school,1-Yes,1099,578,521,32,4,253,146,646,13,5,372,DAVENPORT
FOUR RIVERS CHARTER PUBLIC SCHOOL,Massachusetts,MA ,Franklin County,http://www.fourriverscharter.org,4137754577,1-Regular school,1-Yes,219,106,113,10,†,183,5,16,4,1,–,Greenfield
FOUR WINDS COMMUNITY HIGH SCHOOL,North Dakota,ND ,Benson County,http://www.fourwinds.k12.nd.us,7017661400,1-Regular school,1-Yes,170,94,76,1,†,3,†,†,†,166,170,Fort Totten
FOWLER HIGH,California,CA ,Fresno County,http://www.fowler.k12.ca.us,5598346160,1-Regular school,1-Yes,792,399,393,4,†,74,7,625,80,2,580,Fowler
FOWLER HIGH,Kansas,KS ,Meade County,http://www.usd225.org,6206465221,1-Regular school,1-Yes,74,40,34,1,†,71,†,†,2,†,45,Fowler
FOWLER HIGH SCHOOL,Colorado,CO ,Otero County,http://www.fowler.k12.co.us,7192634279,1-Regular school,1-Yes,117,56,61,†,†,89,†,28,†,†,49,FOWLER
FOWLER HIGH SCHOOL,Michigan,MI ,Clinton County,http://www.fowlerschool.net,9895932250,1-Regular school,1-Yes,184,96,88,="0",="0",172,2,6,4,="0",40,FOWLER
FOWLERVILLE HIGH SCHOOL,Michigan,MI ,Livingston County,http://www.fowlervilleschools.org,5172236002,1-Regular school,1-Yes,859,448,411,8,="0",803,8,18,8,14,272,FOWLERVILLE
FOX CHAPEL AREA HS,Pennsylvania,PA ,Allegheny County,http://www.fcasd.edu/fcahs,4129672430,1-Regular school,1-Yes,1330,671,659,17,="0",1117,50,43,100,3,268,Pittsburgh
FOX CITIES LEADERSHIP ACADEMY,Wisconsin,WI ,Outagamie County,http://www.aasd.k12.wi.us,9208324300,1-Regular school,1-Yes,91,37,54,†,1,76,7,6,1,†,21,Appleton
FOX CREEK CHARTER HIGH,South Carolina,SC ,Edgefield County,†,8036139435,1-Regular school,1-Yes,679,351,328,10,="0",524,112,23,8,2,135,North Augusta
FOX HS,Oklahoma,OK ,Carter County,http://www.foxps.k12.ok.us/,5806732082,1-Regular school,1-Yes,84,53,31,4,†,59,8,1,1,11,63,Fox
FOX LANE HIGH SCHOOL,New York,NY ,Westchester County,http://www.bcsdny.org,9142416085,1-Regular school,1-Yes,1384,719,665,42,="0",786,47,456,53,="0",410,BEDFORD
FOX SR. HIGH,Missouri,MO ,Jefferson County,http://www.fox.k12.mo.us,6362965210,1-Regular school,1-Yes,1715,855,860,41,†,1548,30,57,33,6,551,ARNOLD
FOX TECHNICAL H S,Texas,TX ,Bexar County,†,2107389730,1-Regular school,1-Yes,371,112,259,1,="0",7,16,346,1,="0",294,SAN ANTONIO
FOXBOROUGH HIGH,Massachusetts,MA ,Norfolk County,http://www.foxborough.k12.ma.us,5085431616,1-Regular school,1-Yes,813,425,388,14,†,691,44,36,26,2,–,Foxborough
FOXBOROUGH REGIONAL CHARTER SCHOOL,Massachusetts,MA ,Norfolk County,http://www.foxboroughrcs.org,5085432508,1-Regular school,1-Yes,1630,785,844,86,3,535,761,79,160,5,–,Foxborough
FOXFIRE HIGH SCHOOL,Ohio,OH ,Muskingum County,http://www.foxfireschools.com/,7404534509,1-Regular school,1-Yes,365,228,137,52,="0",291,19,2,1,="0",–,Zanesville
FOYIL HS,Oklahoma,OK ,Rogers County,http://www.foyil.k12.ok.us,9183421782,1-Regular school,1-Yes,104,54,50,10,†,54,1,3,†,36,45,Foyil
FRAMINGHAM HIGH SCHOOL,Massachusetts,MA ,Middlesex County,http://www.framingham.k12.ma.us/Domain/11,5086204963,1-Regular school,1-Yes,2271,1152,1119,92,2,1321,181,541,132,2,–,Framingham
FRANCIS HOWELL CENTRAL HIGH,Missouri,MO ,St. Charles County,http://fhsdschools.org,6368514600,1-Regular school,1-Yes,1851,916,935,57,†,1547,137,59,48,3,273,ST CHARLES
FRANCIS HOWELL HIGH,Missouri,MO ,St. Charles County,http://fhsdschools.org,6368514700,1-Regular school,1-Yes,1867,972,895,42,2,1583,110,55,72,3,164,ST CHARLES
FRANCIS HOWELL NORTH HIGH,Missouri,MO ,St. Charles County,http://fhsdschools.org,6368514900,1-Regular school,1-Yes,1667,875,792,70,3,1238,172,96,85,3,302,ST CHARLES
FRANCIS JOSEPH REITZ HIGH SCHOOL,Indiana,IN ,Vanderburgh County,†,8124358206,1-Regular school,1-Yes,1323,668,655,80,1,1139,54,29,19,1,519,Evansville
FRANCIS LEWIS HIGH SCHOOL,New York,NY ,Queens County,†,7182818200,1-Regular school,1-Yes,4469,2254,2215,37,15,669,268,947,2518,15,3088,FRESH MEADOWS
FRANCIS MARION MILITARY ACADEMY,Florida,FL ,Marion County,†,3522456600,1-Regular school,1-Yes,170,106,64,5,="0",90,17,56,1,1,127,OCALA
FRANCIS MARION SCHOOL,Alabama,AL ,Perry County,http://pcschooldistrict.org,3346836622,1-Regular school,1-Yes,705,356,349,1,="0",6,696,1,1,="0",640,Marion
FRANCIS REH PSA,Michigan,MI ,Saginaw County,http://www.leonagroup.com,9897532349,1-Regular school,1-Yes,455,228,227,25,="0",8,377,44,="0",1,445,SAGINAW
FRANCIS SCOTT KEY HIGH,Maryland,MD ,Carroll County,http://www.carrollk12.org/fsk/,4107513320,1-Regular school,1-Yes,929,454,475,27,1,814,41,36,7,3,275,Union Bridge
FRANCIS T. MALONEY HIGH SCHOOL,Connecticut,CT ,New Haven County,http://www.meriden.k12.ct.us/maloney/Maloney_WEB/index.htm,2032382334,1-Regular school,1-Yes,1134,579,555,42,†,355,119,575,43,†,815,Meriden
FRANCIS W. PARKER CHARTER ESSENTIAL SCHOOL,Massachusetts,MA ,Middlesex County,http://www.theparkerschool.org,9787723293,1-Regular school,1-Yes,397,185,208,20,†,353,4,9,7,†,–,Devens
FRANK H. PETERSON ACADEMIES,Florida,FL ,Duval County,http://www.duvalschools.org/fhp,9045731150,1-Regular school,1-Yes,1219,572,647,48,4,387,562,167,42,9,543,JACKSONVILLE
FRANK HUGHES SCHOOL,Tennessee,TN ,Wayne County,†,9316763325,1-Regular school,1-Yes,317,158,159,3,†,296,8,8,†,2,–,Clifton
FRANK L MADLA EARLY COLLEGE H S,TEXAS,TX ,Bexar County,http://www.newfrontierspublicschools.org,2105333655,1-Regular school,1-Yes,192,78,114,1,="0",11,2,178,="0",="0",154,SAN ANTONIO
FRANK LANTERMAN,California,CA ,Los Angeles County,http://www.lantermanhs-lausd-ca.schoolloop.com/,2137498310,2-Special education school,1-Yes,26,18,8,="0",="0",="0",2,23,1,="0",23,Los Angeles
FRANK MCCOURT HIGH SCHOOL,New York,NY ,New York County,http://www.fmhsnyc.org,2123622015,1-Regular school,1-Yes,414,199,215,20,2,125,57,190,17,3,220,NEW YORK
FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,New York,NY ,Queens County,†,7183619920,1-Regular school,1-Yes,856,265,591,49,2,307,112,283,96,7,330,LONG ISLAND CITY
FRANK W. COX HIGH,Virginia,VA ,Virginia Beach city,†,7576485250,1-Regular school,1-Yes,1815,970,845,115,4,1285,212,140,57,2,394,Virginia Beach
FRANK W. SPRINGSTEAD HIGH SCHOOL,Florida,FL ,Hernando County,http://www.hernandoschools.org/hhs,3527977010,1-Regular school,1-Yes,1721,822,899,76,1,1055,103,432,47,7,731,BROOKSVILLE
FRANKENMUTH HIGH SCHOOL,Michigan,MI ,Saginaw County,†,9896529955,1-Regular school,1-Yes,544,279,265,6,1,496,11,24,6,="0",76,FRANKENMUTH
FRANKFORD HS,Pennsylvania,PA ,Philadelphia County,†,2154007200,1-Regular school,1-Yes,903,550,353,32,1,69,488,300,11,2,903,Philadelphia
FRANKFORT COMM HIGH SCHOOL,Illinois,IL ,Franklin County,†,6189323126,1-Regular school,1-Yes,466,239,227,3,†,444,3,9,6,1,202,West Frankfort
FRANKFORT HIGH,Kansas,KS ,Marshall County,http://www.usd380.com,7852924486,1-Regular school,1-Yes,104,44,60,="0",="0",103,="0",1,="0",="0",36,Frankfort
FRANKFORT HIGH SCHOOL,Michigan,MI ,Benzie County,http://www.frankfort.k12.mi.us,2313524781,1-Regular school,1-Yes,247,134,113,10,="0",213,1,16,4,3,127,FRANKFORT
FRANKFORT HIGH SCHOOL,Kentucky,KY ,Franklin County,†,5028758655,1-Regular school,1-Yes,228,117,111,26,†,160,35,6,1,†,117,Frankfort
FRANKFORT HIGH SCHOOL,West Virginia,WV ,Mineral County,†,3047264767,1-Regular school,1-Yes,508,250,258,6,†,496,2,2,2,†,165,RIDGELEY
FRANKFORT HIGH SCHOOL,Indiana,IN ,Clinton County,†,7656548545,1-Regular school,1-Yes,904,458,446,14,†,420,9,460,1,†,645,Frankfort
